intake_age,days_stayed,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_male,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_owner_surrender,simplified_type_stray
4,128,0,0,1,0,1,0,1,0,0,1,0
2,134,0,0,1,0,0,0,1,0,0,0,1
1,105,0,1,0,0,1,0,1,0,0,1,0
1,92,0,0,1,0,0,0,1,0,0,0,1
0,86,0,0,1,0,0,0,1,0,0,0,1
0,69,0,0,1,0,1,0,0,0,1,0,1
0,108,0,0,0,0,1,0,0,0,1,0,1
0,68,1,0,0,0,0,0,0,0,1,0,1
2,88,0,0,0,0,0,0,1,0,0,0,1
0,50,0,0,1,0,0,0,1,0,0,0,1
0,65,0,0,1,0,0,0,0,0,0,0,0
0,58,0,0,1,0,0,0,1,0,0,0,1
0,99,0,0,0,0,1,0,1,0,0,0,1
9,15,0,0,1,0,1,0,1,0,0,0,0
4,7,1,0,0,0,1,0,1,0,0,0,1
0,4,0,0,1,0,1,0,1,0,0,0,1
0,35,0,1,0,0,0,0,1,0,0,0,1
0,11,1,0,0,0,0,0,1,0,0,0,1
0,35,0,0,1,0,1,0,1,0,0,0,1
8,27,0,0,1,0,1,0,0,0,0,0,1
0,43,0,0,1,0,1,0,1,0,0,0,1
0,17,0,0,1,0,0,0,1,0,0,0,1
0,35,0,0,0,0,0,0,0,1,0,0,1
9,32,1,0,0,0,1,1,0,0,0,0,1
0,30,0,0,0,0,1,0,1,0,0,0,1
4,62,0,1,0,0,0,1,0,0,0,0,1
2,19,0,0,0,1,1,0,0,1,0,0,1
4,14,0,0,1,0,1,0,1,0,0,0,1
8,40,0,0,1,0,0,0,0,1,0,1,0
1,11,0,1,0,0,0,0,1,0,0,0,1
4,66,0,0,1,0,1,0,1,0,0,1,0
2,31,1,0,0,0,0,0,0,0,0,0,0
2,18,0,1,0,0,1,0,1,0,0,1,0
0,42,0,0,0,1,0,0,1,0,0,0,1
2,24,0,1,0,0,0,0,1,0,0,1,0
2,9,0,1,0,0,1,0,0,1,0,1,0
0,7,0,1,0,0,0,0,1,0,0,0,1
1,13,0,1,0,0,0,0,1,0,0,0,0
0,103,0,0,1,0,0,0,1,0,0,0,1
2,13,0,0,1,0,0,0,1,0,0,0,1
7,2,0,0,1,0,0,1,0,0,0,0,1
4,12,0,0,0,0,1,1,0,0,0,0,1
0,73,0,0,1,0,1,0,1,0,0,0,1
0,10,0,0,1,0,1,0,1,0,0,0,1
0,24,0,0,1,0,0,0,1,0,0,0,1
0,113,0,0,1,0,1,0,1,0,0,0,1
0,22,0,0,1,0,0,0,1,0,0,0,1
0,16,0,1,0,0,0,0,1,0,0,0,1
3,75,0,0,1,0,1,0,1,0,0,1,0
0,33,0,0,0,0,0,0,0,0,0,0,1
2,19,0,0,1,0,0,0,1,0,0,0,0
1,14,1,0,0,0,1,1,0,0,0,0,1
0,98,0,0,1,0,0,0,1,0,0,0,1
0,42,0,0,1,0,0,0,0,0,0,0,1
0,49,0,0,0,0,0,0,0,0,0,0,1
2,49,0,0,0,0,0,0,0,0,0,0,1
1,49,0,0,1,0,0,0,0,0,0,0,1
0,39,0,0,1,0,1,0,1,0,0,0,1
1,39,0,1,0,0,0,0,1,0,0,0,1
3,73,0,0,0,0,1,0,1,0,0,0,0
3,73,0,0,0,0,0,0,1,0,0,0,0
2,14,1,0,0,0,0,0,1,0,0,0,1
0,4,0,0,0,1,1,0,0,0,1,0,1
0,17,0,0,0,0,0,1,0,0,0,0,1
2,66,0,0,1,0,0,0,1,0,0,0,1
0,10,1,0,0,0,1,0,1,0,0,0,1
0,21,0,0,0,0,0,0,1,0,0,0,0
0,101,0,0,1,0,1,0,0,0,1,0,1
0,65,0,0,1,0,0,0,0,0,1,0,1
0,19,0,1,0,0,1,0,1,0,0,0,1
3,24,0,1,0,0,1,0,1,0,0,0,1
0,9,0,0,1,0,1,0,1,0,0,0,1
0,126,0,0,1,0,1,0,1,0,0,0,1
5,28,0,0,0,0,1,1,0,0,0,0,1
9,90,0,0,0,0,1,0,1,0,0,0,1
0,50,0,0,0,1,1,0,1,0,0,0,1
0,13,0,0,1,0,1,0,1,0,0,0,1
3,37,0,0,0,0,0,1,0,0,0,0,0
2,31,0,0,1,0,1,0,1,0,0,0,1
0,16,0,0,1,0,1,0,1,0,0,0,1
0,15,0,1,0,0,0,0,1,0,0,0,1
9,134,0,0,0,1,1,0,0,0,0,0,1
2,13,1,0,0,0,0,0,1,0,0,1,0
1,22,0,0,1,0,1,0,1,0,0,1,0
0,4,0,0,1,0,1,0,1,0,0,0,1
2,7,0,1,0,0,1,0,1,0,0,1,0
0,77,0,1,0,0,0,0,1,0,0,0,1
1,49,0,1,0,0,0,0,1,0,0,1,0
4,6,1,0,0,0,1,0,1,0,0,0,1
4,23,0,1,0,0,1,0,0,1,0,0,1
2,20,0,1,0,0,0,0,1,0,0,1,0
4,7,0,1,0,0,1,0,1,0,0,0,1
0,113,0,0,0,0,0,0,0,0,1,0,1
0,110,0,0,1,0,0,0,1,0,0,0,1
0,65,0,0,0,0,1,0,1,0,0,0,1
0,63,0,0,1,0,1,1,0,0,0,0,1
0,3,0,0,0,0,0,0,1,0,0,1,0
0,9,0,0,1,0,1,0,1,0,0,1,0
1,29,0,0,1,0,0,0,1,0,0,0,1
0,66,0,0,1,0,0,0,0,0,1,0,1
4,16,0,0,0,1,1,0,0,1,0,0,0
0,68,0,1,0,0,1,0,1,0,0,0,0
0,12,0,0,0,1,0,0,1,0,0,0,1
3,15,0,1,0,0,0,0,1,0,0,0,1
0,5,0,0,0,0,0,0,0,0,0,0,1
0,83,0,0,0,0,0,1,0,0,0,0,1
0,28,0,0,1,0,0,0,1,0,0,0,1
3,41,0,0,0,1,1,0,1,0,0,0,0
0,77,0,0,1,0,1,0,1,0,0,0,1
0,6,0,1,0,0,0,0,1,0,0,0,1
0,26,0,0,1,0,0,0,1,0,0,0,1
0,29,0,0,0,1,1,0,1,0,0,0,1
0,35,0,0,0,0,0,0,0,0,1,0,1
0,40,0,1,0,0,1,0,1,0,0,0,1
0,55,0,0,1,0,1,1,0,0,0,0,1
0,63,0,1,0,0,0,0,1,0,0,0,1
0,91,0,0,0,1,0,0,0,0,1,0,1
0,4,0,0,1,0,1,0,1,0,0,0,0
0,64,1,0,0,0,0,0,1,0,0,0,1
0,139,1,0,0,0,0,0,0,0,1,0,1
0,36,0,1,0,0,1,0,0,0,1,0,1
0,7,0,1,0,0,0,0,1,0,0,0,1
0,31,0,0,1,0,1,0,0,0,1,0,0
7,16,0,0,0,1,1,0,0,0,0,1,0
0,12,1,0,0,0,1,1,0,0,0,0,1
3,10,0,0,1,0,0,0,1,0,0,0,1
0,15,0,0,1,0,0,1,0,0,0,0,1
0,41,0,1,0,0,0,0,0,0,1,0,1
0,4,0,1,0,0,1,1,0,0,0,0,1
0,98,0,0,0,0,0,0,0,0,1,0,1
3,10,0,0,1,0,0,1,0,0,0,0,1
2,68,0,1,0,0,1,0,0,1,0,0,0
0,48,1,0,0,0,1,0,1,0,0,1,0
2,69,0,0,0,1,1,0,1,0,0,0,0
0,62,0,0,1,0,1,0,0,0,1,0,1
0,61,0,0,1,0,1,0,0,0,1,0,1
0,50,0,0,0,0,0,0,1,0,0,0,1
0,42,0,0,1,0,0,0,1,0,0,0,1
2,10,0,1,0,0,0,0,1,0,0,0,1
0,37,0,0,1,0,1,0,1,0,0,0,1
1,139,1,0,0,0,0,0,0,0,1,0,1
0,3,0,0,0,0,1,0,0,0,1,0,1
0,14,0,1,0,0,1,1,0,0,0,0,1
0,30,0,1,0,0,0,0,0,0,1,0,1
0,49,0,0,0,0,1,0,0,0,1,0,1
0,13,0,0,1,0,0,0,0,0,1,0,1
0,31,0,0,0,0,1,0,0,0,1,0,1
0,27,0,0,0,0,1,0,0,0,1,0,1
0,20,0,0,0,0,0,0,0,0,0,0,1
0,20,0,0,1,0,1,0,0,0,1,0,1
0,12,0,0,1,0,1,0,0,0,1,0,1
0,32,0,0,0,0,1,0,0,0,1,0,1
0,127,0,0,0,0,1,0,1,0,0,0,0
0,24,0,1,0,0,0,0,0,0,0,0,1
2,131,0,0,1,0,1,0,1,0,0,0,0
0,43,0,0,1,0,0,0,0,0,1,0,1
0,21,1,0,0,0,1,0,0,0,1,0,1
0,80,0,0,0,1,1,0,1,0,0,0,1
0,24,0,0,1,0,0,0,0,0,0,1,0
0,2,0,1,0,0,0,1,0,0,0,1,0
1,96,0,1,0,0,1,0,1,0,0,0,1
0,40,0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0
8,15,0,0,0,1,1,1,0,0,0,0,1
0,24,1,0,0,0,0,0,0,0,1,0,1
0,17,0,0,1,0,1,0,0,0,1,0,1
3,99,0,1,0,0,0,0,0,0,0,0,1
5,42,0,0,0,0,0,0,1,0,0,0,0
4,22,0,0,0,0,0,0,1,0,0,0,0
0,88,0,0,1,0,1,0,0,0,1,0,1
1,16,1,0,0,0,0,0,1,0,0,0,1
0,5,0,0,1,0,0,0,0,0,1,0,1
0,68,0,0,0,0,1,0,0,0,0,0,1
0,22,1,0,0,0,0,0,1,0,0,0,1
4,43,0,0,0,0,1,1,0,0,0,0,1
0,10,1,0,0,0,0,0,0,0,1,0,1
0,4,0,0,1,0,1,0,0,0,1,0,1
0,113,0,1,0,0,0,0,1,0,0,0,1
1,106,0,0,1,0,1,0,1,0,0,0,1
0,34,0,0,1,0,0,0,0,0,1,0,1
0,2,0,1,0,0,0,0,0,0,1,0,1
0,32,0,0,1,0,1,0,1,0,0,0,0
0,3,0,1,0,0,0,0,0,0,1,0,1
0,4,0,0,0,0,0,0,1,0,0,0,1
0,82,0,1,0,0,0,0,0,0,1,0,1
1,38,1,0,0,0,1,0,1,0,0,1,0
4,17,0,0,1,0,1,0,0,0,0,0,1
0,40,0,0,1,0,1,0,1,0,0,0,1
7,52,0,0,0,0,1,0,1,0,0,0,1
0,15,1,0,0,0,1,0,0,0,0,0,1
5,3,0,0,0,0,1,0,1,0,0,0,1
1,6,0,0,0,1,0,1,0,0,0,0,1
4,35,0,0,0,0,1,1,0,0,0,0,1
0,47,0,0,1,0,1,0,0,0,1,0,1
0,41,0,0,1,0,0,0,0,0,1,0,1
4,14,0,1,0,0,1,0,1,0,0,1,0
0,2,0,0,0,0,1,0,1,0,0,0,1
2,8,0,0,1,0,1,1,0,0,0,0,1
0,23,0,0,1,0,0,0,0,0,0,0,1
0,23,0,1,0,0,1,0,0,0,0,0,1
0,61,0,0,1,0,0,0,0,1,0,0,1
0,30,1,0,0,0,1,0,0,1,0,0,1
0,37,1,0,0,0,1,0,0,1,0,0,1
0,15,0,1,0,0,0,0,0,0,0,0,1
0,48,0,0,1,0,1,0,0,0,1,0,1
1,11,0,0,1,0,0,0,1,0,0,0,1
0,14,0,1,0,0,0,0,1,0,0,0,0
0,102,0,1,0,0,0,0,1,0,0,0,1
0,92,0,0,0,0,1,0,0,0,1,0,1
0,42,0,0,1,0,0,0,0,0,0,1,0
4,131,0,1,0,0,0,0,0,0,0,0,1
0,107,0,0,1,0,0,0,0,0,0,0,1
0,104,0,0,1,0,0,0,1,0,0,0,1
1,101,0,0,0,0,0,1,0,0,0,0,1
0,98,0,0,1,0,0,0,0,1,0,0,1
0,13,0,0,1,0,1,0,0,0,0,0,0
0,76,0,0,1,0,0,0,0,0,0,0,1
0,81,0,0,0,0,1,0,0,0,1,0,1
9,17,0,0,0,1,1,0,0,1,0,1,0
3,78,0,0,0,0,1,0,1,0,0,1,0
3,90,0,0,0,0,0,0,1,0,0,1,0
1,9,0,0,0,0,0,0,1,0,0,0,1
0,3,0,0,0,0,1,0,1,0,0,1,0
1,58,0,0,1,0,1,0,1,0,0,0,1
3,16,0,0,0,0,1,0,0,1,0,0,1
3,7,0,0,1,0,0,0,1,0,0,0,1
1,132,0,0,0,0,1,0,1,0,0,1,0
2,57,0,1,0,0,1,0,1,0,0,1,0
8,13,0,0,1,0,1,0,1,0,0,0,1
3,50,0,1,0,0,0,0,1,0,0,0,1
4,30,0,1,0,0,0,0,1,0,0,1,0
3,25,0,0,1,0,1,0,1,0,0,0,1
2,100,0,1,0,0,0,0,1,0,0,0,1
0,24,0,1,0,0,0,0,0,0,0,0,1
0,11,0,0,0,1,0,0,1,0,0,0,1
0,7,0,0,1,0,0,0,0,0,1,0,1
0,57,0,0,0,0,1,0,0,0,1,0,1
4,28,0,1,0,0,1,0,1,0,0,1,0
0,12,0,0,0,1,1,0,1,0,0,0,1
0,44,0,0,1,0,1,0,0,1,0,0,1
1,91,0,0,1,0,1,0,0,1,0,1,0
4,47,0,1,0,0,1,0,1,0,0,0,1
2,63,0,1,0,0,0,0,0,1,0,0,1
2,9,0,1,0,0,0,0,1,0,0,0,1
0,13,0,1,0,0,1,0,1,0,0,0,1
0,79,0,0,1,0,0,0,1,0,0,0,1
8,60,0,0,0,0,1,0,1,0,0,1,0
3,46,0,0,0,1,0,0,1,0,0,0,1
0,26,0,1,0,0,0,0,1,0,0,0,1
0,16,0,0,0,0,1,0,1,0,0,0,1
0,7,1,0,0,0,1,0,1,0,0,0,1
0,19,0,0,0,1,0,0,1,0,0,0,1
7,3,0,1,0,0,1,0,1,0,0,1,0
0,31,0,0,1,0,0,0,1,0,0,0,1
0,34,0,0,0,0,0,0,1,0,0,1,0
0,128,0,0,1,0,1,0,1,0,0,0,1
3,57,0,0,0,0,1,0,1,0,0,0,1
3,30,0,1,0,0,0,0,1,0,0,0,1
0,38,0,0,0,1,0,0,1,0,0,0,1
0,13,0,0,0,1,1,0,1,0,0,0,1
2,43,0,0,1,0,1,0,1,0,0,0,1
2,77,0,0,0,1,1,0,1,0,0,0,1
4,26,0,0,0,1,1,0,1,0,0,0,1
0,6,0,0,1,0,0,0,1,0,0,0,1
0,30,0,1,0,0,0,0,0,0,1,0,1
0,32,0,0,0,0,0,0,0,0,1,0,1
0,11,1,0,0,0,0,0,1,0,0,0,1
0,13,1,0,0,0,1,0,1,0,0,0,1
0,11,0,1,0,0,0,0,1,0,0,0,1
0,43,0,0,1,0,1,0,0,0,1,0,1
0,16,0,0,0,0,0,0,0,1,0,0,1
0,7,0,0,0,1,0,0,1,0,0,0,1
3,86,0,1,0,0,0,0,1,0,0,0,1
0,14,0,0,0,1,0,0,1,0,0,0,1
2,27,0,1,0,0,0,0,1,0,0,0,1
0,6,1,0,0,0,1,0,1,0,0,1,0
0,26,0,0,0,0,1,0,1,0,0,0,1
3,72,0,1,0,0,0,0,1,0,0,0,1
0,57,0,1,0,0,0,0,1,0,0,0,1
4,74,0,0,0,0,1,0,1,0,0,0,1
3,9,0,0,0,0,1,0,1,0,0,0,1
7,24,0,0,0,0,0,0,1,0,0,1,0
0,7,0,0,0,0,1,0,0,0,0,0,1
4,124,0,1,0,0,0,0,0,0,0,1,0
0,5,0,1,0,0,0,0,1,0,0,0,1
0,4,0,0,1,0,1,0,1,0,0,0,1
0,4,0,1,0,0,1,0,1,0,0,1,0
0,22,0,0,1,0,0,0,0,0,1,0,1
5,83,0,0,1,0,1,0,1,0,0,0,0
0,140,0,0,1,0,1,0,1,0,0,0,1
4,4,0,0,0,0,1,0,1,0,0,0,1
0,85,0,0,0,0,1,0,1,0,0,0,1
0,9,1,0,0,0,1,0,1,0,0,0,1
0,50,0,0,0,0,0,0,0,0,1,0,1
0,34,0,0,0,1,1,0,1,0,0,1,0
0,146,0,0,1,0,0,0,0,1,0,0,1
0,30,0,0,0,0,1,0,1,0,0,0,0
1,89,0,0,0,0,0,0,1,0,0,0,1
0,12,0,0,1,0,1,0,1,0,0,0,1
0,67,0,0,0,0,1,0,0,1,0,0,1
0,55,0,1,0,0,1,0,1,0,0,0,1
0,44,0,0,1,0,1,0,1,0,0,0,1
2,56,0,1,0,0,0,0,1,0,0,0,1
0,34,0,0,1,0,1,0,1,0,0,0,1
0,36,0,0,0,1,1,0,1,0,0,1,0
0,109,0,0,0,0,1,0,1,0,0,0,1
1,120,0,0,0,0,0,0,1,0,0,1,0
0,130,0,1,0,0,1,0,1,0,0,0,1
1,21,1,0,0,0,1,0,1,0,0,0,1
0,44,0,0,0,0,1,0,0,1,0,0,1
0,48,0,0,1,0,1,1,0,0,0,0,1
9,77,0,0,0,1,1,0,0,0,0,0,1
7,80,0,0,0,1,0,0,0,1,0,1,0
9,7,0,1,0,0,0,0,1,0,0,1,0
0,3,0,1,0,0,0,0,1,0,0,0,1
0,5,0,0,1,0,0,0,1,0,0,0,1
0,10,1,0,0,0,0,0,1,0,0,0,1
0,43,0,1,0,0,0,0,0,1,0,0,1
2,57,0,0,0,0,0,0,1,0,0,0,1
0,72,0,0,0,1,0,0,1,0,0,0,1
1,25,0,0,0,1,0,0,1,0,0,0,1
4,98,1,0,0,0,1,0,1,0,0,0,1
0,42,0,0,1,0,0,0,1,0,0,1,0
0,6,0,1,0,0,1,0,1,0,0,0,1
1,17,0,0,0,0,1,0,1,0,0,0,1
2,44,0,1,0,0,0,0,0,1,0,0,1
2,16,0,0,0,1,1,0,1,0,0,0,1
0,115,0,0,1,0,0,0,1,0,0,0,1
2,23,0,0,0,1,1,0,0,1,0,0,1
0,22,0,0,1,0,1,0,0,0,1,0,1
0,33,0,0,0,0,0,0,1,0,0,0,1
0,70,0,0,0,0,1,0,1,0,0,0,1
0,63,0,0,0,0,0,0,1,0,0,0,1
0,143,0,0,1,0,1,0,0,1,0,0,1
4,15,0,0,0,0,1,0,1,0,0,0,1
0,88,0,0,0,0,0,0,0,0,1,0,1
0,88,0,0,0,0,1,0,0,0,1,0,1
0,54,0,0,1,0,0,0,0,0,1,0,1
0,6,0,0,1,0,1,0,0,0,1,0,1
0,82,0,0,1,0,0,0,1,0,0,0,1
0,49,0,0,1,0,1,0,1,0,0,0,1
0,3,0,1,0,0,0,0,1,0,0,0,1
0,42,0,0,1,0,1,0,1,0,0,0,1
0,43,0,1,0,0,1,0,0,0,0,0,1
0,33,0,1,0,0,0,0,1,0,0,0,1
0,57,0,0,1,0,0,0,0,0,1,0,1
0,111,0,0,0,1,0,0,1,0,0,0,1
1,33,0,0,1,0,0,0,1,0,0,0,1
0,57,0,0,1,0,1,0,1,0,0,0,1
0,4,0,0,1,0,1,0,1,0,0,0,1
0,44,0,0,0,0,0,0,0,0,1,0,1
6,107,1,0,0,0,1,0,1,0,0,1,0
0,21,0,1,0,0,0,0,1,0,0,0,1
0,144,0,0,0,0,1,0,1,0,0,0,1
0,72,0,0,1,0,0,0,1,0,0,0,1
0,23,0,0,1,0,0,0,1,0,0,0,1
0,7,0,0,1,0,1,0,0,0,1,0,1
0,136,0,0,1,0,0,0,0,0,0,0,1
0,49,0,0,0,0,0,0,1,0,0,0,1
0,23,0,1,0,0,0,0,1,0,0,0,1
0,5,0,0,1,0,0,0,0,1,0,0,1
0,87,0,0,0,1,0,0,0,0,1,0,1
0,76,0,0,0,1,1,0,0,0,1,0,1
0,105,0,0,0,0,1,0,0,0,1,0,1
0,80,1,0,0,0,1,1,0,0,0,0,1
0,110,0,0,0,0,1,0,1,0,0,0,1
0,100,0,0,1,0,0,0,1,0,0,0,1
0,83,0,0,0,0,0,0,1,0,0,0,1
0,22,0,0,1,0,0,0,0,0,1,0,1
0,116,0,0,1,0,1,0,1,0,0,0,1
2,71,0,0,1,0,1,0,0,0,0,1,0
0,80,0,0,1,0,1,0,1,0,0,0,1
0,41,0,0,1,0,1,0,0,0,0,0,1
0,35,0,0,1,0,0,0,1,0,0,0,0
0,6,0,1,0,0,0,0,1,0,0,0,1
0,6,0,0,0,0,1,0,0,0,0,0,1
6,50,1,0,0,0,1,0,0,0,0,0,1
0,92,0,0,1,0,0,0,1,0,0,0,1
0,119,0,0,1,0,1,0,0,0,0,0,1
0,42,0,0,0,1,1,0,1,0,0,1,0
0,98,0,1,0,0,0,0,1,0,0,0,1
0,6,0,1,0,0,1,0,1,0,0,1,0
0,95,0,1,0,0,0,0,1,0,0,0,1
9,108,0,1,0,0,0,0,1,0,0,1,0
0,25,0,1,0,0,0,0,1,0,0,0,1
0,18,0,0,0,0,0,0,1,0,0,0,1
2,20,1,0,0,0,0,0,1,0,0,0,1
0,19,0,0,1,0,0,0,0,0,0,0,1
2,62,0,0,0,1,1,0,0,0,0,0,1
1,55,0,0,0,0,1,0,1,0,0,0,1
1,7,1,0,0,0,1,0,0,1,0,0,1
9,43,0,1,0,0,0,0,0,0,0,1,0
0,14,0,0,0,0,0,0,1,0,0,0,1
1,36,0,0,0,0,1,0,0,1,0,0,1
0,136,0,0,1,0,1,0,0,0,0,0,1
0,19,0,1,0,0,1,0,0,0,1,0,1
3,20,0,0,0,1,1,0,1,0,0,1,0
2,12,0,0,0,0,0,0,0,0,0,0,1
0,127,0,1,0,0,1,0,1,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,1
2,54,0,0,0,0,0,0,1,0,0,1,0
5,85,0,1,0,0,0,0,1,0,0,0,0
0,10,0,0,0,1,0,0,0,1,0,0,1
5,40,0,0,0,0,1,0,0,1,0,0,1
0,40,0,0,0,0,1,0,1,0,0,0,1
3,25,1,0,0,0,0,0,1,0,0,1,0
3,57,0,0,1,0,0,0,1,0,0,1,0
4,41,0,1,0,0,1,1,0,0,0,0,1
0,15,0,1,0,0,0,0,1,0,0,0,1
0,19,0,0,0,0,1,0,1,0,0,0,1
9,20,0,0,0,0,1,0,0,1,0,1,0
0,7,0,1,0,0,0,0,0,1,0,0,1
0,34,1,0,0,0,0,0,0,0,0,0,1
0,15,0,0,1,0,0,0,0,1,0,0,1
0,17,0,1,0,0,0,0,0,0,1,0,1
0,124,0,0,1,0,0,0,0,0,1,0,1
0,18,0,1,0,0,0,0,1,0,0,0,1
0,25,0,0,1,0,1,0,0,1,0,0,1
0,149,0,0,0,0,1,0,1,0,0,1,0
0,3,0,1,0,0,1,0,1,0,0,0,1
0,34,0,0,1,0,1,1,0,0,0,0,1
0,34,1,0,0,0,0,0,1,0,0,0,1
0,36,1,0,0,0,1,0,1,0,0,0,1
0,37,1,0,0,0,0,0,1,0,0,0,1
0,3,0,1,0,0,1,0,1,0,0,0,1
0,34,0,0,0,0,0,0,1,0,0,0,1
1,12,0,0,0,0,1,0,1,0,0,0,1
0,4,0,1,0,0,0,0,0,0,1,0,1
2,41,0,1,0,0,0,0,0,0,0,0,1
0,24,1,0,0,0,1,0,1,0,0,0,1
2,57,0,1,0,0,0,0,1,0,0,0,1
0,35,0,1,0,0,0,0,1,0,0,0,1
0,84,0,1,0,0,0,0,0,0,1,0,1
0,33,0,1,0,0,0,0,1,0,0,1,0
0,17,0,0,0,0,1,0,1,0,0,0,1
1,34,1,0,0,0,0,1,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,1,0,1
0,27,0,0,0,0,0,0,0,0,0,0,1
2,13,0,1,0,0,1,0,1,0,0,1,0
1,54,0,0,1,0,0,0,1,0,0,0,1
2,17,0,0,1,0,1,0,1,0,0,0,1
0,6,0,0,1,0,1,0,0,1,0,0,1
1,40,0,0,0,0,1,0,0,0,0,0,1
1,14,0,1,0,0,0,0,1,0,0,0,1
3,30,0,0,0,1,0,0,1,0,0,0,1
1,6,0,0,1,0,0,0,1,0,0,1,0
3,6,0,0,1,0,1,0,1,0,0,0,1
0,5,0,1,0,0,0,0,1,0,0,1,0
2,6,0,1,0,0,1,0,1,0,0,0,1
9,132,0,1,0,0,1,0,1,0,0,0,1
3,41,0,1,0,0,1,0,1,0,0,0,0
0,32,0,0,0,0,0,0,0,0,0,1,0
2,18,0,0,1,0,1,0,1,0,0,1,0
0,45,1,0,0,0,0,0,1,0,0,1,0
0,12,0,0,0,0,1,1,0,0,0,0,1
0,3,0,1,0,0,0,0,1,0,0,0,1
0,8,1,0,0,0,1,0,1,0,0,0,1
0,69,0,0,0,0,1,0,1,0,0,0,1
0,104,0,0,0,0,0,0,0,0,1,0,1
0,63,0,0,0,0,0,0,0,0,1,0,1
0,17,0,0,1,0,0,0,0,1,0,0,1
4,50,1,0,0,0,1,0,1,0,0,0,1
2,43,0,1,0,0,0,0,1,0,0,1,0
0,68,0,0,1,0,0,1,0,0,0,0,1
0,98,1,0,0,0,0,0,1,0,0,0,1
0,52,0,0,0,0,0,0,1,0,0,0,1
0,33,0,0,1,0,1,0,1,0,0,0,1
0,49,0,0,1,0,1,0,1,0,0,0,1
0,112,0,1,0,0,1,0,1,0,0,0,1
0,77,1,0,0,0,0,0,0,0,1,0,1
0,27,1,0,0,0,1,0,0,0,0,0,1
0,46,0,0,0,0,1,0,0,0,0,0,1
0,29,0,0,1,0,0,0,0,0,1,0,1
0,76,0,0,1,0,0,0,1,0,0,0,1
0,39,1,0,0,0,1,0,0,0,1,0,1
0,71,0,0,1,0,0,0,1,0,0,0,1
0,19,1,0,0,0,1,0,0,0,1,0,1
0,23,0,1,0,0,1,0,1,0,0,0,1
0,31,0,1,0,0,0,0,0,0,0,0,1
0,29,0,0,1,0,0,0,0,0,1,0,1
0,95,0,0,0,0,0,0,1,0,0,0,1
0,121,1,0,0,0,1,0,1,0,0,0,1
0,131,0,0,1,0,0,0,1,0,0,0,1
